filename	caseID	cite	description	date	type	position
Case_6001_025	6001	1979 WL 199777 	 Motion for Leave to File Brief Amicus Curiae of Pacific Legal Foundation in Support of Respondent Brian F. Weber and Brief Amicus Curiae of Pacific Legal Foundation in Support of Respondent Brian F. Weber 	Feb. 24, 1979	Amicus Curiae	Respondent
Case_6001_026	6001	1979 WL 199773 	 Amicus Curiae Brief on Behalf of the California Correctional Officers Association 	Feb. 24, 1979	Amicus Curiae	undeclared
Case_6001_027	6001	1979 WL 199779 	 Brief Amicus Curiae of the Government Contract Employers Association 	Feb. 26, 1979	Amicus Curiae	undeclared
Case_6001_028	6001	1979 WL 199783 	 Motion by Southeastern Legal Foundation for Leave to File a Brief and Brief of Southeastern Legal Foundation, Inc., Amicus Curiae 	Feb. 27, 1979	Amicus Curiae	undeclared
Case_6001_029	6001	1979 WL 199727 	 Brief for Respondents 	Feb. 27, 1979	Litigant	Respondent
Case_6001_030	6001	1979 WL 199792 	 Brief Amici Curiae of Anti-Defamation League of B'Nai B'Rith; Hellenic Bar Association of Illinois; Institute for Liberty and Justice Order of Sons of Italy in America, Inc.; National Jewish Commission on Law and Public Affairs 'COLPA'' ; Ukraini an Congress Committee of America Chicago Division and UNICO National	Feb. 28, 1979	Amicus Curiae	undeclared
Case_6001_031	6001	1979 WL 199787 	 Brief of Amicus Curiae For the Committee on Academic Nondiscrimination and Integrity 	Feb. 28, 1979	Amicus Curiae	undeclared
Case_6001_032	6001	1979 WL 199800 	 Brief Amicus Curiae on Behalf of the United States Justice Foundation 	Mar. 01, 1979	Amicus Curiae	undeclared
Case_6001_033	6001	1979 WL 199795 	 Brief of Amicus Curiae Pacific Civil Liberties League 	Mar. 01, 1979	Amicus Curiae	undeclared
Case_6001_034	6001	1979 WL 199797 	 Motion to File Brief Amicus Curiae and Brief Amicus Curiae for Great Plains Legal Foundation 	Mar. 08, 1979	Amicus Curiae	undeclared
Case_6001_035	6001	1979 WL 199731 	 Reply Brief for Petitioner 	Mar. 21, 1979	Litigant	Petitioner
Case_6001_036	6001	1979 WL 199733 	 Reply Brief for the United States and the Equal Employment Opportunity Commission 	Mar. 22, 1979	Litigant	Petitioner
Case_6001_037	6001	1979 WL 199729 	 Reply Brief for United Steelworkers of America AFL-CIO-CLC 	Mar. 23, 1979	Litigant	Petitioner
Case_6002_001	6002	1979 WL 199300 	 Brief Amicus Curiae of the Equal Employment Advisory Council in Support of a Petition for a Writ of Certiorari to the United States Court of Appeals for the Second Circuit 	Jan. 17, 1979	Amicus Curiae	undeclared
Case_6002_002	6002	1979 WL 199307 	 Brief for Petitioner, General Building Contractors of New York State, Inc., The New York State Building Chapter, Associated General Contractors of America, Inc. 	Aug. 1979	Litigant	Petitioner
Case_6002_003	6002	1979 WL 199319 	 Brief of the Anti-Defamation League of B'nai B'rith, Amicus Curiae, in Support of Petitioners 	Aug. 03, 1979	Amicus Curiae	Petitioner
Case_6002_004	6002	1979 WL 199323 	 Brief Amicus Curiae of Pacific Legal Foundation in Support of Petitioners H. Earl Fullilove, et al. 	Aug. 06, 1979	Amicus Curiae	Petitioner
Case_6002_005	6002	1979 WL 199321 	 Brief Amicus Curiae of the Equal Employment Advisory Council 	Aug. 06, 1979	Amicus Curiae	undeclared
Case_6002_006	6002	1979 WL 199305 	 Brief for Petitioners 	Aug. 07, 1979	Litigant	Petitioner
Case_6002_007	6002	1979 WL 199312 	 Brief for Respondent State of New York 	Sep. 07, 1979	Litigant	Respondent
Case_6002_008	6002	1979 WL 199325 	 Brief Amicus Curiae of the Minority Contractors Association, Inc. 	Oct. 05, 1979	Amicus Curiae	undeclared
Case_6002_009	6002	1979 WL 199327 	 Brief of the NAACP Legal Defense and Educational Fund, Inc., the National Urban League, Inc., the National Bankers Association, Inc., and the National Bar Association, as Amici Curiae 	Oct. 06, 1979	Amicus Curiae	undeclared
Case_6002_010	6002	1979 WL 199341 	 Brief of The National Bar Association, Inc. and The American Business Council, Inc. Amici Curiae 	Oct. 09, 1979	Amicus Curiae	undeclared
Case_6002_011	6002	1979 WL 199340 	 Brief Amici Curiae of American Savings & Loan League, Inc. and National Association of Black Manufacturers, Inc. in Support of Respondents Juanita Kreps, et al. 	Oct. 09, 1979	Amicus Curiae	Respondent
Case_6002_012	6002	1979 WL 199339 	 Brief Amici Curiae of the Affirmative Action Coordinating Center the National Conference of Black Lawyers the National Lawyers Guild the Center for Constitutional Rights the Center for Urban Law Hon. Parren J. Mitchell, Member of Congress the Affirma tive Action Committee of New Haven Affirmative Action Coordinating Committee the Afro-American Museum and Research Center of Youngstown, Ohio the Asian Law Caucus Asian Legal Services Outreach Asociacion Politica De Habla/Apellido Espanol Associated 	Oct. 09, 1979	Amicus Curiae	undeclared
Case_6002_013	6002	1979 WL 199338 	Amicus Curiae Brief for the Minority Contractors Assistance Project, Inc.	Oct. 09, 1979	Amicus Curiae	undeclared
Case_6002_014	6002	1979 WL 199337 	 Brief Amicus Curiae for Alpha Kappa Alpha Sorority, Inc. 	Oct. 09, 1979	Amicus Curiae	undeclared
Case_6002_015	6002	1979 WL 199336 	 Brief for the Lawyers' Committee for Civil Rights Under Law as Amicus Curiae 	Oct. 09, 1979	Amicus Curiae	undeclared
Case_6002_016	6002	1979 WL 199335 	 Brief for the Asian American Legal Defense and Education Fund, Inc. as Amicus Curiae 	Oct. 09, 1979	Amicus Curiae	undeclared
Case_6002_017	6002	1979 WL 199333 	 Brief of the American Civil Liberties Union and the Society of American Law Teachers Board of Governors, Amici Curiae 	Oct. 09, 1979	Amicus Curiae	undeclared
Case_6002_018	6002	1979 WL 199331 	 Brief Amicus Curiae of National Conference of Black Mayors, Inc. 	Oct. 09, 1979	Amicus Curiae	undeclared
Case_6002_019	6002	1979 WL 199330 	 Brief of Amici Curiae Mexican American/Hispanic Contractors and Truckers Association, Inc., League of United Latin American Citizens, American G.I. Forum, Incorporated Mexican American Government Employees 	Oct. 09, 1979	Amicus Curiae	undeclared
Case_6002_020	6002	1979 WL 199328 	 Brief of the National Association for the Advancement of Colored People and the International Union, United Automobile, Aerospace and Agricultural Implement Workers of America UAW as Amici Curiae	Oct. 09, 1979	Amicus Curiae	undeclared
Case_6002_021	6002	1979 WL 199314 	 Brief for Respondents the City of New York, The New York City Board of Higher Education, and The New York City Health and Hospitals Corp. 	Oct. 09, 1979	Litigant	Respondent
Case_6002_022	6002	1979 WL 199310 	 Brief for the Secretary of Commerce 	Oct. 13, 1979	Amicus Curiae	undeclared
Case_6002_023	6002	1979 WL 199317 	 Reply Brief for Petitioner, General Building Contractors of New York State, Inc., The New York State Building Chapter, Associated General Contractors of America, Inc. 	Nov. 20, 1979	Litigant	Petitioner
Case_6002_024	6002	1979 WL 199316 	 Reply Brief for Petitioners 	Nov. 20, 1979	Litigant	Petitioner
Case_6003_001	6003	1979 WL 199595 	 Brief of the American Civil Liberties Union, ACLU of Southern California, and ACLU of Northern California, Amici Curiae 	Oct. Term 1979	Amicus Curiae	undeclared
Case_6003_002	6003	1979 WL 199594 	 Brief for Respondents 	Oct. Term 1979	Litigant	Respondent
Case_6003_003	6003	1980 WL 339391 	 Brief Amicus Curiae of Pacific Legal Foundation in Support of Petitioners Wayne Minnick, et al 	Aug. 14, 1980	Amicus Curiae	Petitioner
Case_6003_004	6003	1980 WL 339386 	 Brief of the Anti-Defamation League of B'nai B'rith, Amicus Curiae, in Support of Petitioners 	Sep. 1980	Amicus Curiae	Petitioner
Case_6003_005	6003	1980 WL 339389 	 Brief Amicus Curiae of the Equal Employment Advisory Council in Support of the Petitioners 	Sep. 12, 1980	Amicus Curiae	Petitioner
Case_6003_006	6003	1980 WL 339384 	 Brief for Petitioners 	Sep. 13, 1980	Litigant	Petitioner
Case_6003_007	6003	1980 WL 339387 	 Brief Amici Curiae of the California Department of Fair Employment and Housing and California Fair Employment and Housing Commission in Support of Respondents 	Oct. 1980	Amicus Curiae	Respondent
Case_6003_008	6003	1980 WL 339390 	 Amicus Curiae Brief of the New York State Department of Correctional Services in Support of Respondents 	Oct. 15, 1980	Amicus Curiae	Respondent
Case_6003_009	6003	1980 WL 339388 	 Brief for Amicus Curiae City of Detroit 	Oct. 28, 1980	Amicus Curiae	undeclared
Case_6003_010	6003	1980 WL 339392 	 Brief for the United States and the Equal Employment Opportunity Commission as Amici Curiae 	Nov. 14, 1980	Amicus Curiae	undeclared
Case_6003_011	6003	1980 WL 339385 	 Reply Brief for the Petitioners 	Nov. 25, 1980	Litigant	Petitioner
Case_6004_001	6004	1982 WL 608789 	 Reply Brief of Petitioners 	May. 04, 1982	Litigant	Petitioner
Case_6008_001	6008	1985 WL 669738 	 Brief of Mid-America Legal Foundation As Amicus Curiae Supporting Petitioners 	May. 24, 1985	Amicus Curiae	Petitioner
Case_6008_002	6008	1985 WL 669732 	 Brief of Amicus Curiae Pacific Legal Foundation in Support of Petitioners 	Jun. 19, 1985	Amicus Curiae	Petitioner
Case_6008_003	6008	1985 WL 669733 	 Brief Amicus Curiae of the Michigan State Police Troopers Association, Inc. 	Jun. 22, 1985	Amicus Curiae	undeclared
Case_6008_004	6008	1985 WL 669737 	 Brief of Anti-Defamation League of B'nai B'rith, Amicus Curiae, in Support of Petitioners 	Jun. 24, 1985	Amicus Curiae	Petitioner
Case_6008_005	6008	1985 WL 669736 	 Brief of Amicus Curiae American Federation of Teachers, AFL-CIO in Support of Petitioners 	Jun. 24, 1985	Amicus Curiae	Petitioner
Case_6008_006	6008	1985 WL 669734 	 Brief of Local 36, International Association of Fire Fighters, AFL-CIO, and Kevin Michael Byrne, et al., as Amici Curiae in Support of Petitioners 	Jun. 24, 1985	Amicus Curiae	Petitioner
Case_6008_007	6008	1985 WL 669739 	 Brief for the United States as Amicus Curiae Supporting Petitioners 	Jun. 25, 1985	Amicus Curiae	Petitioner
Case_6008_008	6008	1985 WL 669729 	 Petitioners' Brief 	Jun. 28, 1985	Litigant	Petitioner
Case_6008_009	6008	1985 WL 669740 	 Brief of Amicus Curiae City of Detroit 	Aug. 21, 1985	Amicus Curiae	undeclared
Case_6008_010	6008	1985 WL 669741 	 Brief of Amicus Curiae Michigan Civil Rights Commission, Michigan Department of Civil Rights 	Aug. 22, 1985	Amicus Curiae	undeclared
Case_6008_011	6008	1985 WL 669755 	 Brief Amici Curiae of the States of Minnesota, California, Louisiana, Nebraska, New Mexico and Wisconsin and the California Fair Employment and Housing Commission in Support of Respondents 	Aug. 23, 1985	Amicus Curiae	Respondent
Case_6008_012	6008	1985 WL 669754 	 Brief Amici Curiae in Support of Respondents Submitted by the Affirmative Action Coordinating Center, the National Conference of Black Lawyers, the National Lawyers Guild, the Center for Constitutional Rights, American Association for Affirmative Act ion, League of Martin, Sisters of Saint Dominic, Women's Coalition, Inc., and Women's Division, General Board of Global Ministries, United Methodist Church 	Aug. 23, 1985	Amicus Curiae	Respondent
Case_6008_013	6008	1985 WL 669753 	 Brief Amicus Curiae of Congressional Coalition in Support of Respondents 	Aug. 23, 1985	Amicus Curiae	Respondent
Case_6008_014	6008	1985 WL 669752 	 Brief of National School Boards Association as Amicus Curiae Supporting Respondents 	Aug. 23, 1985	Amicus Curiae	Respondent
Case_6008_015	6008	1985 WL 669750 	 Brief of the National Association for the Advancement of Colored People, Amicus Curiae, in Support of Respondents 	Aug. 23, 1985	Amicus Curiae	Respondent
Case_6008_016	6008	1985 WL 669748 	 Brief of Mexican American Legal Defense and Educational Fund, Amicus Curiae, in Support of Respondents 	Aug. 23, 1985	Amicus Curiae	Respondent
Case_6008_017	6008	1985 WL 669746 	 Brief Amicus Curiae for the Naacp Legal Defense & Educational Fund, Inc. 	Aug. 23, 1985	Amicus Curiae	undeclared
Case_6008_018	6008	1985 WL 669745 	 Brief of Amici Curiae Lawyers' Committee for Civil Rights Under Law and American Civil Liberties Union in Support of Respondents 	Aug. 23, 1985	Amicus Curiae	Respondent
Case_6008_019	6008	1985 WL 669743 	 Brief for the National Education Association, California Teachers Association, Florida Teaching Profession-National Education Association, Georgia Association of Educators, Massachusetts Teachers Association, Michigan Education Association, Washingto n Education Association, and Wisconsin Education Association Council as Amici Curiae in Support of Respondents 	Aug. 23, 1985	Amicus Curiae	Respondent
Case_6008_020	6008	1985 WL 669742 	 Brief for Jackson Education Association, as Amicus Curiae Supporting Respondents 	Aug. 23, 1985	Amicus Curiae	Respondent
Case_6008_021	6008	1985 WL 669730 	 Brief for Respondents 	Aug. 23, 1985	Litigant	Respondent
Case_6008_022	6008	1985 WL 669744 	 Brief Amicus Curiae of the Equal Employment Advisory Council 	Aug. 28, 1985	Amicus Curiae	undeclared
Case_6008_023	6008	1985 WL 669756 	 Brief of Amici Curiae, the Greater Boston Civil Rights Coalition, and the Civil Liberties Union of Massachusetts, in Support of Respondents 	Oct. Term 1985	Amicus Curiae	Respondent
Case_6008_024	6008	1985 WL 669731 	 Petitioners' Reply Brief 	Oct. 21, 1985	Litigant	Petitioner
Case_6009_001	6009	1986 WL 727611 	 Brief of Respondents, Alabama Department of Public Safety and Colonel Byron Prescott in Support of Petitioner 	Aug. 1986	Litigant	Petitioner
Case_6009_002	6009	1986 WL 727610 	 Brief Amicus Curiae of Pacific Legal Foundation in Support of Petitioner 	Aug. 1986	Amicus Curiae	Petitioner
Case_6009_003	6009	1986 WL 727614 	 Brief for the United States 	Aug. 30, 1986	Litigant	Petitioner
Case_6009_004	6009	1986 WL 727617 	 Brief Amicus Curiae for the NAACP Legal Defense & Educational Fund, Inc. 	Sep. 29, 1986	Amicus Curiae	undeclared
Case_6009_005	6009	1986 WL 727620 	 Brief for the Lawyers' Committee for Civil Rights Under Law, the American Civil Liberties Union, the American Jewish Congress, the Mexican American Legal Defense and Educational Fund, the National Association for the Advancement of Colored People, th e National Women's Law Center, the Puerto Rican Legal Defense and Education Fund, Women Employed, and the Women's Legal Defense Fund as Amici Curiae in Support of Respondents Phillip Paradise, Jr., et al. 	Sep. 30, 1986	Amicus Curiae	Respondent
Case_6009_006	6009	1986 WL 727619 	 Brief for the City of Birmingham, Alabama as Amicus Curiae in Support of Respondents 	Sep. 30, 1986	Amicus Curiae	Respondent
Case_6009_007	6009	1986 WL 727616 	 Brief of the States of New York, California, Illinois, Louisiana, Maryland, Michigan, Minnesota, West Virginia and Wisconsin as Amici Curiae in Support of Respondents 	Sep. 30, 1986	Amicus Curiae	Respondent
Case_6009_008	6009	1986 WL 727622 	 Reply Brief for the United States 	Oct. 1986	Litigant	Petitioner
Case_6009_009	6009	1986 WL 727621 	 Brief for Respondents 	Oct. Term 1986	Litigant	Respondent
Case_6009_010	6009	1986 WL 727615 	 Brief of City of Detroit, the District of Columbia and the City of Los Angeles as Amici Curiae in Support of Respondents 	Oct. Term 1986	Amicus Curiae	Respondent
Case_6009_011	6009	1986 WL 727613 	 Brief of Intervenors-Respondents Supporting the Petitioner 	Oct. Term 1986	Litigant	Petitioner
Case_6010_001	6010	1985 WL 670070 	 Reply Brief of Petitioners 	Aug. 08, 1985	Litigant	Petitioner
Case_6010_002	6010	1985 WL 670097 	 Brief of Respondent New York State Division of Human Rights 	Oct. Term 1985	Litigant	Respondent
Case_6010_003	6010	1985 WL 670074 	 Brief Amicus Curiae and Brief Amicus Curiae of Pacific Legal Foundation in Support of Petitioners 	Nov. 20, 1985	Amicus Curiae	Petitioner
Case_6010_004	6010	1985 WL 670133 	 Brief of Local 542, International Union of Operating Engineers and Local 36, International Association of Firefighters, AFL-CIO, as Amici Curiae in Support of Petitioners 	Dec. 02, 1985	Amicus Curiae	Petitioner
Case_6010_005	6010	1985 WL 670076 	 Brief of Local 542, International Union of Operating Engineers and Local 36, International Association of Firefighters, AFL-CIO, as Amici Curiae in Support of Petitioners 	Dec. 02, 1985	Amicus Curiae	Petitioner
Case_6010_006	6010	1985 WL 670081 	 Petitioners' Brief on the Merits 	Dec. 06, 1985	Litigant	Petitioner
Case_6010_007	6010	1985 WL 670084 	 Brief for the Equal Employment Opportunity Commission 	Dec. 09, 1985	Litigant	Respondent
Case_6010_008	6010	1986 WL 728271 	 Motions Pursuant to Rules 38.7 and 42 and Brief Amicus Curiae of North Carolina Association of Black Lawyers 	Jan. 03, 1986	Amicus Curiae	undeclared
Case_6010_009	6010	1986 WL 728269 	 Brief Amicus Curiae of the National Conference of Black Mayors, Inc. in Support of Respondents 	Jan. 08, 1986	Amicus Curiae	Respondent
Case_6010_010	6010	1986 WL 728273 	 Brief Amicus Curiae of the National Association of Manufacturers in Support of Respondents 	Jan. 23, 1986	Amicus Curiae	Respondent
Case_6010_011	6010	1986 WL 728296 	 Brief for the Lawyers' Committee for Civil Rights Under Law, the National Association for the Advancement of Colored People, the American Civil Liberties Union and the National Black Police Association as Amici-Curiae in Support of Respondents City o f Cleveland, the Vanguards of Cleveland, City of New York and State of New York 	Jan. 24, 1986	Amicus Curiae	Respondent
Case_6010_012	6010	1986 WL 728279 	 Brief of the States of California, Louisiana, Michigan, Minnesota, Nebraska, New Jersey, New Mexico, Oregon, West Virginia, Wisconsin, and the Pennsylvania Human Relations Commission as Amici Curiae in Support of Respondents 	Jan. 24, 1986	Amicus Curiae	Respondent
Case_6010_013	6010	1986 WL 728278 	 Brief for the City of Birmingham, Alabama as Amicus Curiae in Support of Respondents 	Jan. 24, 1986	Amicus Curiae	Respondent
Case_6010_014	6010	1986 WL 728277 	 Brief Amicus Curiae of the Equal Employment Advisory Council 	Jan. 24, 1986	Amicus Curiae	undeclared
Case_6010_015	6010	1986 WL 728275 	 Brief for the Lawyers' Committee for Civil Rights Under Law, the National Association for the Advancement of Colored People, the American Civil Liberties Union and the National Black Police Association as Amici-Curiae in Support of Respondents City o f Cleveland, the Vanguards of Cleveland, City of New York and State of New York 	Jan. 24, 1986	Amicus Curiae	Respondent
Case_6010_016	6010	1986 WL 728272 	 Brief of City of Detroit, the District of Columbia and the City of Los Angeles as Amici Curiae in Support of Respondents 	Jan. 24, 1986	Amicus Curiae	Respondent
Case_6010_017	6010	1986 WL 728276 	 Brief for Respondent the City of New York 	Jan. 25, 1986	Litigant	Respondent
Case_6010_018	6010	1986 WL 728281 	 Reply Brief for the Equal Employment Opportunity Commission 	Feb. 1986	Litigant	Respondent
Case_6010_019	6010	1986 WL 728280 	 Petitioners' Reply Brief on the Merits 	Feb. 18, 1986	Litigant	Petitioner
Case_6010_020	6010	1988 WL 1031747 	 Brief Amicus Curiae of the NAACP Legal Defense and Educational Fund, Inc., American Jewish Congress, American Jewish Committee, National Association for the Advancement of Colored People, Mexican American Legal Defense and Educational Fund, Inc., Nat ional Urban League, Inc., Puerto Rican Legal Defense and Education Fund, Inc., Asian American Legal Defense and Education Fund, Inc., the New Jewish Agenda, and the Commission on Social Action of the Union of American Hebrew Congregations and the Ce 	Jan. 24, 1988	Amicus Curiae	undeclared
Case_6010_021	6010	1988 WL 1031746 	 Brief Amici Curiae For Now Legal Defense and Education Fund; California Women Lawyers; Employment Law Center; Equal Rights Advocates; League of Women Voters of the United States; National Women's Law Center; Northwest Women's Law Center; Wider Opport unities for Women; Women Employed; Women's Law Fund; Women's Law Project; National Bar Association, Women Lawyer's Division, Greater Washington Area Chapter; Women's Legal Defense Fund in Support of Respondents 	Jan. 24, 1988	Amicus Curiae	Respondent
Case_6011_001	6011	1988 WL 1031746 	 Brief Amici Curiae For Now Legal Defense and Education Fund; California Women Lawyers; Employment Law Center; Equal Rights Advocates; League of Women Voters of the United States; National Women's Law Center; Northwest Women's Law Center; Wider Opport unities for Women; Women Employed; Women's Law Fund; Women's Law Project; National Bar Association, Women Lawyer's Division, Greater Washington Area Chapter; Women's Legal Defense Fund in Support of Respondents 	Jan. 24, 1988	Amicus Curiae	Respondent
Case_6011_002	6011	1986 WL 728301 	 Reply Brief for the Petitioner 	Feb. 18, 1986	Litigant	Petitioner
Case_6011_003	6011	1986 WL 728272 	 Brief of City of Detroit, the District of Columbia and the City of Los Angeles as Amici Curiae in Support of Respondents 	Jan. 24, 1986	Amicus Curiae	Respondent
Case_6011_004	6011	1986 WL 728275 	 Brief for the Lawyers' Committee for Civil Rights Under Law, the National Association for the Advancement of Colored People, the American Civil Liberties Union and the National Black Police Association as Amici-Curiae in Support of Respondents City o f Cleveland, the Vanguards of Cleveland, City of New York and State of New York 	Jan. 24, 1986	Amicus Curiae	Respondent
Case_6011_005	6011	1986 WL 728278 	 Brief for the City of Birmingham, Alabama as Amicus Curiae in Support of Respondents 	Jan. 24, 1986	Amicus Curiae	Respondent
Case_6011_006	6011	1986 WL 728279 	 Brief of the States of California, Louisiana, Michigan, Minnesota, Nebraska, New Jersey, New Mexico, Oregon, West Virginia, Wisconsin, and the Pennsylvania Human Relations Commission as Amici Curiae in Support of Respondents 	Jan. 24, 1986	Amicus Curiae	Respondent
Case_6011_007	6011	1986 WL 728290 	 Brief of Amici Curiae the City of Atlanta and the Minority Business Enterprise Legal Defense and Education Fund, Inc., in Support of Respondents%n1%n 	Jan. 24, 1986	Amicus Curiae	Respondent
Case_6011_008	6011	1986 WL 728291 	 Brief Amicus Curiae of the National Institute of Municipal Law Officers in Support of Respondent, City of Cleveland, et al 	Jan. 24, 1986	Amicus Curiae	Respondent
Case_6011_009	6011	1986 WL 728292 	 Brief for the International Association of Black Professional Fire Fighters as Amicus Curiae Supporting Respondent Vanguards 	Jan. 24, 1986	Amicus Curiae	Respondent
Case_6011_010	6011	1986 WL 728294 	 Brief Amici Curiae in Support of Respondents Submitted by the Affirmative Action Coordinating Center the National Conference of Black Lawyers the National Lawyers Guild the Center for Constitutional Rights 	Jan. 24, 1986	Amicus Curiae	Respondent
Case_6011_011	6011	1986 WL 728296 	 Brief for the Lawyers' Committee for Civil Rights Under Law, the National Association for the Advancement of Colored People, the American Civil Liberties Union and the National Black Police Association as Amici-Curiae in Support of Respondents City o f Cleveland, the Vanguards of Cleveland, City of New York and State of New York 	Jan. 24, 1986	Amicus Curiae	Respondent
Case_6011_012	6011	1986 WL 728298 	 Brief of the National League of Cities, International City Management Association, U.S. Conference of Mayors, and National Association of Counties, as Amici Curiae in Support of Respondents 	Jan. 24, 1986	Amicus Curiae	Respondent
Case_6011_013	6011	1986 WL 728300 	 Brief Amicus Curiae of the NAACP Legal Defense and Educational Fund, Inc., National Association for the Advancement of Colored People, Mexican American Legal Defense and Educational Fund, Inc., National Urban League, Inc., Puerto Rican Legal Defense and Education Fund, Inc., Asian American Legal Defense and Education Fund, Inc., and the New Jewish Agenda 	Jan. 24, 1986	Amicus Curiae	undeclared
Case_6011_014	6011	1986 WL 728269 	 Brief Amicus Curiae of the National Conference of Black Mayors, Inc. in Support of Respondents 	Jan. 08, 1986	Amicus Curiae	Respondent
Case_6011_015	6011	1985 WL 670076 	 Brief of Local 542, International Union of Operating Engineers and Local 36, International Association of Firefighters, AFL-CIO, as Amici Curiae in Support of Petitioners 	Dec. 02, 1985	Amicus Curiae	Petitioner
Case_6011_016	6011	1985 WL 670128 	 Brief for the United States as Amicus Curiae Supporting Petitioner 	Dec. 02, 1985	Amicus Curiae	Petitioner
Case_6011_017	6011	1985 WL 670130 	 Brief of the International Association of Fire Fighters, AFL-CIO, C.L.C. as Amicus Curiae 	Dec. 02, 1985	Amicus Curiae	undeclared
Case_6011_018	6011	1985 WL 670133 	 Brief of Local 542, International Union of Operating Engineers and Local 36, International Association of Firefighters, AFL-CIO, as Amici Curiae in Support of Petitioners 	Dec. 02, 1985	Amicus Curiae	Petitioner
Case_6011_019	6011	1985 WL 670136 	 Brief for the Petitioner 	Dec. 02, 1985	Litigant	Petitioner
Case_6011_020	6011	1985 WL 670126 	 Brief Amici Curiae of the Anti-Defamation League of B'nai B'rith on Behalf of Itself and the National Jewish Commission on Law and Public Affairs in Support of Petitioner 	Nov. 26, 1985	Amicus Curiae	Petitioner
Case_6011_021	6011	1985 WL 670124 	 Brief of Amicus Curiae the Washington Legal Foundation in Support of Petitioners 	Nov. 21, 1985	Amicus Curiae	Petitioner
Case_6011_022	6011	1985 WL 670122 	 Motion for Leave to File Brief of Amicus Curiae and Brief of Amicus Curiae, Pacific Legal Foundation, in Support of Petitioners 	Nov. 19, 1985	Amicus Curiae	Petitioner
Case_6011_023	6011	1985 WL 670143 	 Brief of Respondent the Vanguards of Cleveland 	Oct. Term 1985	Litigant	Respondent
Case_6011_024	6011	1985 WL 670147 	 Brief for Separate Respondents City of Cleveland, et al 	Sep. 1985	Litigant	Respondent
Case_6012_001	6012	1985 WL 669494 	 Petitioner's Reply 	Oct. Term 1985	Litigant	Petitioner
Case_6012_002	6012	1986 WL 728146 	 Brief Amicus Curiae of Pacific Legal Foundation, William Kidd, and Edward Swiden in Support of Petitioner 	Aug. 15, 1986	Amicus Curiae	Petitioner
Case_6012_003	6012	1986 WL 728152 	 Brief of Amicus Curiae Mid-Atlantic Legal Foundation in Support of Petitioner 	Aug. 21, 1986	Amicus Curiae	Petitioner
Case_6012_004	6012	1986 WL 728150 	 Petitioner's Brief 	Aug. 21, 1986	Litigant	Petitioner
Case_6012_005	6012	1986 WL 728148 	 Brief for the United States as Amicus Curiae Supporting Petitioner 	Aug. 21, 1986	Amicus Curiae	Petitioner
Case_6012_006	6012	1986 WL 728165 	 Brief of Respondent Transportation Agency, Santa Clara County, California 	Sep. 29, 1986	Litigant	Respondent
Case_6012_007	6012	1986 WL 728163 	 Brief Amici Curiae For NOW Legal Defense and Education Fund; National Organization for Women; American Civil Liberties Union; California Women Lawyers; Employment Law Center; Equal Rights Advocates; Federally Employed Women Legal and Education Fund; League of Women Voters of the United States; NAACP Legal Defense and Educational Fund; National Women's Law Center; Northwest Women's Law Center; Women Employed; Women's Equity Action League; Women's Law Project; Women's Legal Defense Fund 	Sep. 29, 1986	Amicus Curiae	undeclared
Case_6012_008	6012	1986 WL 728161 	 Brief of the State of California, the California Fair Employment and Housing Commission, the States of Idaho, Louisiana, Maryland, Michigan, Minnesota, Nebraska, New York, Oregon, Wisconsin, and the Pennsylvania Human Relations Commission as Amici Cu riae in Support of Resondents 	Sep. 29, 1986	Amicus Curiae	respondents
Case_6012_009	6012	1986 WL 728160 	 Brief for the American Society for Personnel Administration as Amicus Curiae Supporting Respondents 	Sep. 29, 1986	Amicus Curiae	Respondent
Case_6012_010	6012	1986 WL 728159 	 Brief for the Lawyers' Committee for Civil Rights under Law, the Mexican American Legal Defense and Educational Fund, the National Association for the Advancement of Colored People, and the Porto Rican Legal Defense and Education Fund, Inc. as Amici Curiae Supporting Respondents 	Sep. 29, 1986	Amicus Curiae	Respondent
Case_6012_011	6012	1986 WL 728156 	 Brief Amicus Curiae of the Equal Employment Advisory Council 	Sep. 29, 1986	Amicus Curiae	undeclared
Case_6012_012	6012	1986 WL 728154 	 Brief of the National League of Cities, National Association of Counties, U.S. Conference of Mayors, and International City Management Association, as Amici Curiae in Support of Respondents 	Sep. 29, 1986	Amicus Curiae	Respondent
Case_6012_013	6012	1986 WL 728167 	 Brief of Respondent Service Employees International Union Local 715 	Oct. Term 1986	Litigant	Respondent
Case_6012_014	6012	1986 WL 727615 	 Brief of City of Detroit, the District of Columbia and the City of Los Angeles as Amici Curiae in Support of Respondents 	Oct. Term 1986	Amicus Curiae	Respondent
Case_6012_015	6012	1986 WL 728169 	 Petitioner's Reply Brief 	Nov. 03, 1986	Litigant	Petitioner
Case_6013_001	6013	1987 WL 880109 	 Brief Amicus Curiae of Mountain States Legal Foundation 	Oct. Term 1987	Amicus Curiae	undeclared
Case_6013_002	6013	1987 WL 880108 	 Brief Amicus Curiae of the Equal Employment Advisory Council in Support of the Appellee 	Oct. Term 1987	Amicus Curiae	appellee
Case_6013_003	6013	1987 WL 880107 	 Brief of Amici Curiae the Washington Legal Foundation and the Lincoln Institute for Research and Education 	Oct. Term 1987	Amicus Curiae	undeclared
